Year,ID,Name,Ideal point,Institution,10th percentile,90th percentile
2012,2605,Dingell Jr.,-0.72,House,-0.79,-0.65
2012,10713,Conyers,-1.45,House,-1.62,-1.29
2012,13035,Rangel C,-1.21,House,-1.35,-1.05
2012,13047,Young C,0.52,House,0.43,0.61
2012,14053,Stark F,-1.82,House,-2.02,-1.62
2012,14066,Young D,0.56,House,0.47,0.64
2012,14256,Miller G,-1.35,House,-1.52,-1.18
2012,14280,Waxman,-1.43,House,-1.59,-1.26
2012,14290,Paul  Ron,-0.06,House,-0.12,0.00
2012,14413,Dicks,-0.89,House,-1.00,-0.79
2012,14430,Kildee,-0.38,House,-0.45,-0.31
2012,14435,Markey,-1.73,House,-1.89,-1.58
2012,14448,Rahall,-0.13,House,-0.19,-0.06
2012,14644,Lewis  J,0.55,House,0.46,0.64
2012,14647,Lungren  D,0.80,House,0.64,0.97
2012,14657,Sensenbrenn,0.77,House,0.64,0.91
2012,14675,Petri,0.68,House,0.57,0.79
2012,14813,Dreier  D,0.42,House,0.31,0.53
2012,14824,Frank  B,-1.19,House,-1.35,-1.04
2012,14854,Rogers  H,0.88,House,0.71,1.04
2012,14863,Smith  C,0.58,House,0.49,0.67
2012,14869,Wolf  F,0.66,House,0.55,0.77
2012,14873,Hoyer Steny,-0.76,House,-0.88,-0.64
2012,15000,Ackerman  G,-0.95,House,-1.11,-0.80
2012,15005,Berman  H,-0.95,House,-1.13,-0.77
2012,15014,Burton  D,0.84,House,0.66,1.03
2012,15019,Cooper  J,-0.56,House,-0.66,-0.48
2012,15029,Kaptur  M,-0.64,House,-0.74,-0.56
2012,15033,Levin  S,-0.92,House,-1.06,-0.78
2012,15072,Towns  E,-1.11,House,-1.29,-0.94
2012,15085,Barton,0.73,House,0.59,0.88
2012,15092,Coble,0.51,House,0.38,0.66
2012,15124,Visclosky,-0.61,House,-0.73,-0.50
2012,15410,Defazio  P,-0.72,House,-0.85,-0.60
2012,15413,Gallegly  E,0.70,House,0.54,0.85
2012,15420,Herger  W,0.81,House,0.64,1.00
2012,15431,Lewis  J,-1.66,House,-1.95,-1.40
2012,15438,Price  D,-1.29,House,-1.44,-1.13
2012,15444,Slaughter,-1.17,House,-1.34,-1.01
2012,15445,Smith  L,0.96,House,0.77,1.16
2012,15446,Upton  F,0.45,House,0.36,0.55
2012,15448,Pelosi N,-1.17,House,-1.41,-0.95
2012,15453,Costello  J,-0.21,House,-0.29,-0.14
2012,15454,Pallone  Fr,-1.38,House,-1.56,-1.21
2012,15455,Duncan  Joh,0.56,House,0.44,0.67
2012,15603,Engel  Elio,-0.96,House,-1.12,-0.78
2012,15612,Lowey  Nita,-0.93,House,-1.10,-0.78
2012,15613,Mcdermott,-1.60,House,-1.86,-1.32
2012,15616,Neal  Richa,-0.98,House,-1.12,-0.84
2012,15619,Payne  Dona,-1.44,House,-1.70,-1.19
2012,15621,Rohrabacher,0.44,House,0.33,0.55
2012,15627,Stearns  Cl,0.81,House,0.60,1.03
2012,15634,Ros-Lehtine,0.40,House,0.30,0.49
2012,20100,Flake,0.55,House,0.40,0.74
2012,20102,Ross,-0.06,House,-0.17,0.06
2012,20103,Honda,-1.39,House,-1.85,-0.95
2012,20104,Schiff,-0.58,House,-0.77,-0.40
2012,20107,Issa,0.78,House,0.54,1.00
2012,20108,Davis,-0.89,House,-1.18,-0.63
2012,20110,Miller,1.29,House,0.95,1.66
2012,20111,Crenshaw,0.50,House,0.29,0.73
2012,20116,Johnson,0.37,House,0.22,0.52
2012,20117,Pence,0.70,House,0.40,1.02
2012,20119,Lynch,-0.77,House,-0.96,-0.56
2012,20120,Rogers,0.84,House,0.58,1.09
2012,20122,Mccollum,-1.17,House,-1.51,-0.84
2012,20123,Akin,1.25,House,0.84,1.65
2012,20124,Graves,1.22,House,0.85,1.60
2012,20125,Rehberg,0.89,House,0.64,1.14
2012,20129,Israel,-0.93,House,-1.18,-0.69
2012,20130,Tiberi,0.43,House,0.24,0.63
2012,20131,Sullivan,1.07,House,0.66,1.51
2012,20134,Shuster,1.23,House,0.88,1.64
2012,20135,Platts,0.43,House,0.28,0.57
2012,20136,Langevin,-0.93,House,-1.14,-0.73
2012,20138,Wilson,0.78,House,0.46,1.12
2012,20139,Culberson,0.97,House,0.59,1.38
2012,20140,Matheson,-0.12,House,-0.24,0.01
2012,20143,Forbes,0.88,House,0.58,1.18
2012,20144,Cantor,0.94,House,0.58,1.31
2012,20145,Larsen,-0.97,House,-1.23,-0.71
2012,20146,Capito,0.87,House,0.64,1.10
2012,20147,Clay,-1.21,House,-1.61,-0.82
2012,20300,Bonner,0.82,House,0.48,1.19
2012,20301,Rogers,1.12,House,0.71,1.54
2012,20304,Franks,0.83,House,0.50,1.20
2012,20305,Grijalva,-1.66,House,-2.18,-1.14
2012,20306,Cardoza,-0.61,House,-0.80,-0.43
2012,20307,Nunes,0.91,House,0.58,1.29
2012,20310,Sanchez,-1.56,House,-2.09,-0.99
2012,20316,Diaz-Bala,0.15,House,-0.02,0.31
2012,20319,Gingrey,1.16,House,0.76,1.59
2012,20321,Scott,-0.79,House,-1.01,-0.56
2012,20325,King,1.42,House,0.97,1.92
2012,20326,Chandler,-0.38,House,-0.53,-0.23
2012,20328,Michaud,-0.99,House,-1.27,-0.75
2012,20329,Ruppersbe,-0.76,House,-1.01,-0.54
2012,20330,Van Holle,-0.78,House,-1.06,-0.49
2012,20331,Miller,0.68,House,0.41,0.96
2012,20332,Mccotter,0.87,House,0.55,1.20
2012,20333,Kline,0.63,House,0.38,0.90
2012,20336,Garrett,1.10,House,0.71,1.49
2012,20337,Pearce,0.99,House,0.63,1.41
2012,20338,Bishop,-0.53,House,-0.74,-0.34
2012,20340,Butterfi,-0.81,House,-0.93,-0.70
2012,20341,Miller,-0.78,House,-1.04,-0.54
2012,20342,Turner,0.53,House,0.29,0.76
2012,20343,Ryan,-0.96,House,-1.21,-0.74
2012,20344,Cole,0.76,House,0.47,1.04
2012,20345,Gerlach,0.29,House,0.15,0.46
2012,20346,Murphy,0.59,House,0.34,0.86
2012,20351,Blackburn,0.92,House,0.54,1.35
2012,20352,Hensarlin,1.22,House,0.74,1.70
2012,20353,Neugebauer,1.26,House,0.79,1.76
2012,20355,Burgess,0.81,House,0.46,1.19
2012,20356,Carter,1.12,House,0.70,1.58
2012,20357,Bishop,0.53,House,0.31,0.78
2012,20501,Costa,-0.50,House,-0.59,-0.42
2012,20503,Mack,0.48,House,0.39,0.57
2012,20504,Wasserma,-1.37,House,-1.57,-1.18
2012,20505,Price,0.98,House,0.80,1.18
2012,20506,Westmore,1.85,House,1.55,2.16
2012,20507,Barrow,-0.20,House,-0.27,-0.14
2012,20508,Lipinski,-0.19,House,-0.25,-0.12
2012,20511,Davis,1.38,House,1.12,1.63
2012,20514,Boustany,0.83,House,0.69,0.98
2012,20516,Carnahan,-0.77,House,-0.89,-0.66
2012,20517,Cleaver,-1.12,House,-1.26,-0.98
2012,20518,Fortenbe,0.79,House,0.65,0.94
2012,20519,Higgins,-0.52,House,-0.60,-0.44
2012,20521,Foxx,1.31,House,1.07,1.57
2012,20522,Mchenry,1.03,House,0.83,1.23
2012,20523,Boren,0.03,House,-0.03,0.09
2012,20525,Schwartz,-0.78,House,-0.89,-0.67
2012,20526,Dent,0.24,House,0.18,0.31
2012,20527,Gohmert,0.84,House,0.71,1.00
2012,20528,Poe,0.82,House,0.68,0.97
2012,20529,Green,-1.07,House,-1.21,-0.93
2012,20530,Mccaul,0.83,House,0.67,0.99
2012,20531,Conaway,1.07,House,0.88,1.26
2012,20532,Marchant,1.04,House,0.86,1.23
2012,20533,Cuellar,-0.24,House,-0.30,-0.18
2012,20535,Mcmorris,0.91,House,0.74,1.09
2012,20536,Reichert,0.35,House,0.27,0.42
2012,20537,Moore,-1.26,House,-1.43,-1.09
2012,20538,Matsui,-1.22,House,-1.39,-1.05
2012,20539,Campbell,0.75,House,0.62,0.92
2012,20540,Schmidt,0.99,House,0.77,1.21
2012,20542,Sires,-0.82,House,-1.02,-0.64
2012,20701,Giffords,-0.57,House,-0.71,-0.43
2012,20702,Mcnerney,-0.56,House,-0.68,-0.45
2012,20703,Mccarthy,0.88,House,0.68,1.10
2012,20704,Lamborn,1.34,House,1.02,1.75
2012,20705,Perlmutter,-0.82,House,-1.02,-0.63
2012,20706,Courtney,-0.80,House,-0.98,-0.63
2012,20707,Murphy,-0.71,House,-0.87,-0.56
2012,20708,Castor,-0.81,House,-1.01,-0.61
2012,20709,Buchanan,0.64,House,0.51,0.77
2012,20712,Johnson,-1.43,House,-1.78,-1.09
2012,20713,Hirono,-1.62,House,-2.03,-1.19
2012,20715,Roskam,0.79,House,0.62,0.97
2012,20717,Donnelly,-0.07,House,-0.16,0.02
2012,20719,Braley,-0.92,House,-1.14,-0.73
2012,20720,Loebsack,-1.38,House,-1.76,-1.00
2012,20723,Yarmuth,-0.81,House,-1.03,-0.62
2012,20724,Sarbanes,-1.11,House,-1.41,-0.82
2012,20726,Walz,-0.84,House,-1.05,-0.65
2012,20727,Ellison,-1.03,House,-1.25,-0.82
2012,20728,Bachmann,1.22,House,0.92,1.56
2012,20729,Smith,0.83,House,0.62,1.04
2012,20730,Heller,0.55,House,0.41,0.68
2012,20733,Clarke,-1.37,House,-1.69,-1.08
2012,20737,Shuler,-0.01,House,-0.09,0.07
2012,20738,Jordan,1.29,House,0.95,1.65
2012,20740,Sutton,-1.30,House,-1.62,-1.00
2012,20743,Altmire,-0.14,House,-0.23,-0.05
2012,20748,Cohen,-1.06,House,-1.32,-0.83
2012,20750,Welch,-1.00,House,-1.24,-0.76
2012,20752,Richardson,-0.92,House,-1.16,-0.70
2012,20753,Broun,0.92,House,0.67,1.18
2012,20754,Tsongas,-0.91,House,-1.18,-0.67
2012,20755,Latta,0.96,House,0.69,1.27
2012,20756,Wittman,1.06,House,0.75,1.40
2012,20757,Carson,-1.37,House,-1.79,-0.99
2012,20758,Biliraki,0.91,House,0.70,1.13
2012,20759,Scalise,1.04,House,0.73,1.38
2012,20762,Speier,-1.29,House,-1.67,-0.90
2012,20763,Edwards,-1.09,House,-1.38,-0.81
2012,20903,Mcclintock,0.51,House,0.33,0.67
2012,20904,Polis,-1.40,House,-1.95,-0.92
2012,20906,Coffman,0.64,House,0.43,0.85
2012,20907,Himes,-0.72,House,-0.93,-0.53
