Year,SCMedian,President,SenMedian,HouseMedian
1950,0.56,-1.72,NA,NA
1951,0.53,-1.72,1.14,0.64
1952,0.52,-1.72,1.07,0.67
1953,0.55,0.01,0.75,0.68
1954,0.45,0.01,0.71,0.69
1955,0.31,0.01,0.56,0.65
1956,0.34,0.01,0.50,0.67
1957,-0.26,0.01,0.40,0.63
1958,-0.22,0.01,0.38,0.65
1959,-0.09,0.01,0.14,0.53
1960,0.04,0.01,0.10,0.55
1961,0.09,-1.36,0.02,0.60
1962,-0.30,-1.36,-0.02,0.57
1963,-0.92,-1.36,-0.20,0.53
1964,-0.96,-1.00,-0.24,0.53
1965,-0.93,-1.00,-0.35,0.13
1966,-0.92,-1.00,-0.37,0.08
1967,-0.98,-1.00,-0.37,0.29
1968,-1.03,-1.00,-0.38,0.25
1969,-1.07,0.39,-0.46,0.23
1970,-0.29,0.39,-0.54,0.22
1971,-0.15,0.39,-0.54,0.15
1972,-0.12,0.39,-0.58,0.16
1973,0.07,0.39,-0.57,0.13
1974,0.06,0.70,-0.49,0.08
1975,0.11,0.70,-0.52,-0.10
1976,0.15,0.70,-0.50,-0.12
1977,0.18,-0.92,-0.29,-0.11
1978,0.00,-0.92,-0.31,-0.12
1979,0.00,-0.92,-0.24,-0.07
1980,0.01,-0.92,-0.14,-0.07
1981,0.04,1.01,0.04,0.04
1982,0.02,1.01,0.05,0.04
1983,0.10,1.01,0.02,-0.05
1984,0.22,1.01,0.04,-0.06
1985,0.30,1.01,-0.07,-0.02
1986,0.32,1.01,-0.10,-0.03
1987,0.27,1.01,-0.20,-0.08
1988,0.41,1.01,-0.26,-0.10
1989,0.50,1.01,-0.24,-0.14
1990,0.42,1.01,-0.24,-0.14
1991,0.38,1.01,-0.36,-0.17
1992,0.39,1.01,-0.39,-0.17
1993,0.38,-0.75,-0.37,-0.16
1994,0.31,-0.75,-0.37,-0.15
1995,0.29,-0.75,-0.20,0.14
1996,0.27,-0.75,-0.21,0.14
1997,0.34,-0.75,0.15,0.10
1998,0.43,-0.75,0.17,0.10
1999,0.51,-0.75,0.16,0.08
2000,0.40,-0.75,0.15,0.09
2001,0.35,1.13,-0.08,0.08
2002,0.33,1.13,-0.08,0.08
2003,0.33,1.13,-0.02,0.17
2004,0.34,1.13,-0.03,0.11
2005,0.20,1.13,0.28,0.24
2006,0.39,1.13,0.24,0.26
2007,0.45,1.13,-0.29,-0.17
2008,0.34,1.13,-0.31,-0.18
2009,0.37,-0.83,-0.67,-0.35
2010,0.28,-0.83,-0.67,-0.35
2011,0.32,-0.83,-0.52,0.43
