Year,ID,Name,Ideal point,Institution,10th percentile,90th percentile
2012,4812.1,Inouye,-0.96,Senate,-1.10,-0.83
2012,14009.1,Cochran T,0.82,Senate,0.69,0.95
2012,14203.1,Baucus,-0.73,Senate,-0.84,-0.61
2012,14226.1,Grassley,1.16,Senate,1.02,1.30
2012,14230.1,Harkin,-1.81,Senate,-2.14,-1.52
2012,14307.1,Leahy,-1.13,Senate,-1.28,-0.99
2012,14400.1,Akaka,-1.17,Senate,-1.42,-0.94
2012,14440.1,Mikulski,-1.17,Senate,-1.35,-1.00
2012,14503.1,Hatch,0.53,Senate,0.43,0.64
2012,14506.1,Lugar,0.27,Senate,0.18,0.36
2012,14651.1,Nelson  C,-0.86,Senate,-1.11,-0.63
2012,14661.1,Snowe  O,-0.04,Senate,-0.15,0.06
2012,14709.1,Levin  C,-1.60,Senate,-1.85,-1.36
2012,14806.1,Coats  D,0.90,Senate,0.57,1.24
2012,14852.1,Roberts  P,1.25,Senate,1.01,1.49
2012,14858.1,Schumer  C,-1.23,Senate,-1.53,-0.92
2012,14871.1,Wyden  R,-1.48,Senate,-1.78,-1.21
2012,14912.1,Bingaman,-1.42,Senate,-1.60,-1.22
2012,14914.1,Lautenberg,-1.48,Senate,-1.72,-1.24
2012,14920.1,Kerry  J,-1.42,Senate,-1.67,-1.18
2012,14921.1,Mcconnell,1.12,Senate,0.94,1.31
2012,14922.1,Rockefeller,-1.03,Senate,-1.19,-0.88
2012,15011.1,Boxer  B,-1.65,Senate,-1.96,-1.34
2012,15015.1,Carper  T,-0.81,Senate,-1.04,-0.58
2012,15021.1,Durbin  D,-1.30,Senate,-1.63,-0.98
2012,15039.1,Mccain  J,0.65,Senate,0.53,0.77
2012,15054.1,Reid  H,-0.90,Senate,-1.04,-0.76
2012,15408.1,Cardin  B,-1.36,Senate,-1.62,-1.12
2012,15424.1,Inhofe  J,1.56,Senate,1.29,1.93
2012,15425.1,Johnson  T,-0.58,Senate,-0.74,-0.41
2012,15429.1,Kyl  J,0.66,Senate,0.47,0.85
2012,15502.1,Conrad  K,-0.52,Senate,-0.64,-0.40
2012,15703.1,Kohl  Herbe,-0.75,Senate,-0.90,-0.60
2012,15704.1,Lieberman,-0.69,Senate,-0.82,-0.56
2012,20101.1,Boozman,1.39,Senate,0.89,1.89
2012,20115.1,Kirk,0.25,Senate,0.03,0.48
2012,20735.1,Gillibrand,-1.44,Senate,-1.80,-1.10
2012,29142.1,Reed,-1.43,Senate,-1.79,-1.06
2012,29147.1,Sanders,-1.21,Senate,-1.45,-1.01
2012,29345.1,Crapo,1.54,Senate,1.26,1.87
2012,29373.1,Menendez,-1.35,Senate,-1.56,-1.16
2012,29386.1,Portman,0.80,Senate,0.44,1.17
2012,29389.1,Brown  Sher,-1.69,Senate,-2.02,-1.35
2012,29512.1,Chambliss,1.16,Senate,0.84,1.46
2012,29534.1,Wicker,1.38,Senate,1.11,1.66
2012,29537.1,Ensign,1.31,Senate,1.03,1.59
2012,29548.1,Burr,1.09,Senate,0.93,1.26
2012,29555.1,Coburn,1.28,Senate,1.08,1.46
2012,29566.1,Graham,0.56,Senate,0.34,0.78
2012,29722.1,Moran,2.10,Senate,1.35,3.00
2012,29732.1,Stabenow,-1.15,Senate,-1.53,-0.79
2012,29735.1,Blunt,0.89,Senate,0.54,1.26
2012,29754.1,Thune,1.13,Senate,0.97,1.30
2012,29906.1,Udall,-0.72,Senate,-0.94,-0.51
2012,29909.1,Isakson  Jo,1.13,Senate,0.98,1.30
2012,29918.1,Vitter  Dav,1.34,Senate,1.15,1.54
2012,29924.1,Udall,-0.80,Senate,-1.03,-0.57
2012,29935.1,Toomey  Pat,0.82,Senate,0.44,1.22
2012,29936.1,Demint  Jim,1.50,Senate,1.27,1.73
2012,39310.1,Cantwell,-1.52,Senate,-1.95,-1.15
2012,40103.1,Nelson  Ben,-0.27,Senate,-0.40,-0.13
2012,40300.1,Murkowski,0.06,Senate,-0.11,0.22
2012,40301.1,Pryor,-0.50,Senate,-0.69,-0.31
2012,40304.1,Alexander,0.54,Senate,0.30,0.75
2012,40305.1,Cornyn,0.91,Senate,0.65,1.17
2012,40700.1,Klobuchar,-0.95,Senate,-1.11,-0.78
2012,40701.1,Mccaskill,-0.74,Senate,-0.89,-0.61
2012,40702.1,Tester,-0.90,Senate,-1.06,-0.75
2012,40703.1,Casey,-0.46,Senate,-0.57,-0.35
2012,40704.1,Whitehouse,-1.22,Senate,-1.43,-1.01
2012,40705.1,Corker,0.75,Senate,0.62,0.88
2012,40706.1,Webb,-0.70,Senate,-0.83,-0.57
2012,40707.1,Barasso,1.53,Senate,1.26,1.81
2012,40900.1,Begich,-0.66,Senate,-0.85,-0.47
2012,40902.1,Risch,1.87,Senate,1.45,2.37
2012,40904.1,Franken,-1.18,Senate,-1.61,-0.77
2012,40905.1,Johanns,1.09,Senate,0.87,1.31
2012,40906.1,Shaheen,-0.88,Senate,-1.13,-0.66
2012,40907.1,Hagan,-0.70,Senate,-0.91,-0.52
2012,40908.1,Merkley,-1.07,Senate,-1.36,-0.77
2012,40909.1,Warner,-0.77,Senate,-1.00,-0.57
2012,40910.1,Bennett,-0.72,Senate,-0.90,-0.52
2012,40913.1,Borwn,0.08,Senate,-0.10,0.25
2012,40915.1,Manchin,-0.96,Senate,-1.58,-0.40
2012,40916.1,Coons,-0.93,Senate,-1.48,-0.47
2012,41101.1,Blumenthal,-0.91,Senate,-1.55,-0.34
2012,41102.1,Rubio,1.90,Senate,1.17,2.70
2012,41104.1,Paul Rand,1.29,Senate,0.81,1.85
2012,41106.1,Ayotte,0.74,Senate,0.37,1.15
2012,41107.1,Hoeven,1.35,Senate,0.83,1.91
2012,41110.1,Lee Mike,1.16,Senate,0.76,1.58
2012,41111.1,Johnson R,1.55,Senate,0.99,2.16
2012,49300.1,Feinstein,-1.01,Senate,-1.18,-0.85
2012,49306.1,Hutchison,0.99,Senate,0.83,1.16
2012,49308.1,Murray,-1.59,Senate,-1.91,-1.29
2012,49700.1,Sessions,0.94,Senate,0.73,1.14
2012,49702.1,Landrieu,-0.42,Senate,-0.57,-0.27
